"FECHA;DESDE;HASTA;LINEA;MOLINETE;ESTACION;pax_pagos;pax_pases_pagos;pax_franq;pax_TOTAL"
"1/2/2024;05:15:00;05:30:00;LineaH;LineaH_Inclan_Sur_Turn02;Inclan;1;0;0;1"
"1/2/2024;05:15:00;05:30:00;LineaH;LineaH_LasHeras_Turn02;Las Heras;1;0;0;1"
"1/2/2024;05:15:00;05:30:00;LineaH;LineaH_Hospitales_Norte_Turn01;Hospitales;5;0;0;5"
"1/2/2024;05:15:00;05:30:00;LineaH;LineaH_LasHeras_Turn01;Las Heras;2;0;0;2"
"1/2/2024;05:15:00;05:30:00;LineaH;LineaH_Corrientes_Norte_Turn01;Corrientes;1;0;0;1"
"1/2/2024;05:15:00;05:30:00;LineaH;LineaH_Patricios_Turn04;Patricios;2;0;0;2"
"1/2/2024;05:15:00;05:30:00;LineaH;LineaH_Once_Norte_Turn01;Once;1;0;0;1"
"1/2/2024;05:15:00;05:30:00;LineaH;LineaH_Once_Sur_Turn02;Once;4;0;1;5"
"1/2/2024;05:15:00;05:30:00;LineaH;LineaH_HPrimo_Norte_Turn01;Humberto I;1;0;0;1"
"1/2/2024;05:15:00;05:30:00;LineaH;LineaH_Cordoba_Turn01;Cordoba;1;0;3;4"
"1/2/2024;05:15:00;05:30:00;LineaH;LineaH_Hospitales_Norte_Turn02;Hospitales;6;0;0;6"
"1/2/2024;05:15:00;05:30:00;LineaH;LineaH_Caseros_Sur_Turn02;Caseros;3;0;1;4"
"1/2/2024;05:15:00;05:30:00;LineaH;LineaH_Patricios_Turn02;Patricios;1;0;1;2"
"1/2/2024;05:30:00;05:45:00;LineaD;LineaD_CongresoTuc_O_Turn06;Congreso de Tucuman;0;0;1;1"
"1/2/2024;05:30:00;05:45:00;LineaD;LineaD_CongresoTuc_O_Turn04;Congreso de Tucuman;0;0;1;1"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Boedo_Turn02;Boedo;1;0;0;1"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Virreyes_Turn01;Pza. de los Virreyes;0;0;1;1"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Pichin_Turn01;Pichincha;0;0;1;1"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_CCentral_N_Turn02;Correo Central;1;0;0;1"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Virreyes_Turn02;Pza. de los Virreyes;0;0;1;1"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Urquiza_Turn01;Urquiza;0;0;1;1"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Catalinas_N_Turn03;Catalinas;1;0;0;1"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_ERios_Turn03;Entre Rios;1;0;0;1"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Moreno_Turn02;Jose Maria Moreno;5;0;0;5"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_ERios_Turn01;Entre Rios;4;0;0;4"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_RetiroE_N_Turn05;Retiro E;1;0;0;1"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_SanJose_Turn01;San Jose;6;0;0;6"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Medalla_Turn03;Medalla Milagrosa;1;0;0;1"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Virreyes_E_Turn03;Pza. de los Virreyes;16;0;0;16"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_ERios_Turn02;Entre Rios;2;0;0;2"
"1/2/2024;05:30:00;05:45:00;LineaE;LineaE_Virreyes_Turn04;Pza. de los Virreyes;0;0;1;1"
