id,estacion,linea,grado,betweenness,closeness,autovector,excentricidad,r_grado,r_grado_periferia,r_betweenness,r_betweenness_periferia,r_closeness,r_closeness_periferia,r_autovector,r_autovector_periferia,r_excentricidad,r_excentricidad_periferia,score_central,score_periferico
41,Independencia,C,3.0,0.07654127481713689,0.049079754601226995,0.18006330947288493,40,6.0,71.0,54.0,36.0,38.0,52.0,13.0,77.0,25.0,59.0,27.2,59.0
47,Callao,D,2.0,0.11794670846394985,0.049689440993788817,0.11556257703608329,41,20.0,9.0,29.0,61.0,35.0,55.0,22.0,68.0,32.0,47.0,27.6,48.0
50,Agüero,D,2.0,0.1857366771159875,0.047337278106508875,0.04438137775620226,40,20.0,9.0,10.0,80.0,45.0,45.0,50.0,40.0,25.0,59.0,30.0,46.6
8,Alberti,A,2.0,0.10366597004528039,0.05137186223000584,0.06211044204833151,41,20.0,9.0,42.0,48.0,16.0,73.0,40.0,50.0,32.0,47.0,30.0,45.4
10,Loria,A,2.0,0.1671891327063741,0.04929971988795518,0.03861739574114034,41,20.0,9.0,12.0,76.0,36.0,54.0,51.0,39.0,32.0,47.0,30.2,45.0
5,Sáenz Peña,A,2.0,0.09334726576105885,0.048916064480266815,0.14585981161492045,41,20.0,9.0,45.0,45.0,41.0,49.0,17.0,73.0,32.0,47.0,31.0,44.6
37,Lavalle,C,2.0,0.04323406478578893,0.04832509610104338,0.1684983244322541,37,20.0,9.0,68.0,22.0,42.0,48.0,14.0,76.0,11.0,77.0,31.0,46.4
64,Entre Ríos,E,2.0,0.11624869383490075,0.049914917753828704,0.10273889141057285,43,20.0,9.0,31.0,59.0,30.0,59.0,27.0,63.0,49.0,33.0,31.4,44.6
27,Medrano,B,2.0,0.14811912225705332,0.04612159329140461,0.03077674543441659,40,20.0,9.0,16.0,71.0,47.0,43.0,54.0,36.0,25.0,59.0,32.4,43.6
65,Pichincha,E,2.0,0.11990595611285268,0.050400916380297825,0.07987240872229155,44,20.0,9.0,27.0,63.0,26.0,64.0,31.0,59.0,58.0,28.0,32.4,44.6
3,Piedras,A,2.0,0.06687565308254964,0.049189491335941866,0.20825430974492312,43,20.0,9.0,57.0,33.0,37.0,53.0,8.0,82.0,49.0,33.0,34.2,42.0
86,Inclán,H,2.0,0.06661442006269593,0.0502283105022831,0.037754548073712445,39,20.0,9.0,58.0,28.0,27.0,63.0,52.0,38.0,20.0,66.0,35.4,40.8
7,Pasco,A,2.0,0.09622082897944965,0.0497456189937818,0.07671924174370678,43,20.0,9.0,44.0,46.0,34.0,56.0,32.0,58.0,49.0,33.0,35.8,40.4
6,Congreso,A,2.0,0.09256356670149772,0.04897050639955482,0.10325872651910808,43,20.0,9.0,46.0,44.0,39.0,50.0,26.0,64.0,49.0,33.0,36.0,40.0
67,General Urquiza,E,2.0,0.14811912225705332,0.04790419161676647,0.04687678927171125,44,20.0,9.0,16.0,71.0,44.0,46.0,47.0,43.0,58.0,28.0,37.0,39.4
20,Florida,B,2.0,0.04009926854754441,0.04793028322440087,0.11701748766402688,41,20.0,9.0,69.0,21.0,43.0,47.0,21.0,69.0,32.0,47.0,37.0,38.6
51,Bulnes,D,2.0,0.1671891327063741,0.04397801099450275,0.02998069989173813,42,20.0,9.0,12.0,76.0,56.0,34.0,55.0,35.0,44.0,42.0,37.4,39.2
76,Catalinas,E,2.0,0.022857889237199586,0.04631578947368421,0.12090171059606213,41,20.0,9.0,71.0,19.0,46.0,44.0,19.0,71.0,32.0,47.0,37.6,38.0
79,Las Heras,H,2.0,0.022727272727272728,0.04897050639955482,0.027140479697847664,33,20.0,9.0,72.0,12.0,39.0,50.0,56.0,34.0,4.0,85.0,38.2,38.0
11,Castro Barros,A,2.0,0.14811912225705332,0.04557224236147074,0.026077618298908638,43,20.0,9.0,16.0,71.0,51.0,39.0,57.0,33.0,49.0,33.0,38.6,37.0
36,General San Martín,C,2.0,0.022596656217345874,0.04446690247599798,0.1038908269337995,39,20.0,9.0,79.0,11.0,54.0,36.0,25.0,65.0,20.0,66.0,39.6,37.4
28,Ángel Gallardo,B,2.0,0.12852664576802508,0.042759961127308066,0.020758523835228818,42,20.0,9.0,20.0,67.0,58.0,32.0,60.0,30.0,44.0,42.0,40.4,36.0
42,San Juan,C,2.0,0.022727272727272728,0.044829342842587876,0.10644111203738525,42,20.0,9.0,72.0,12.0,52.0,38.0,24.0,66.0,44.0,42.0,42.4,33.4
68,Boedo,E,2.0,0.12852664576802508,0.04428787116255662,0.031613611866360795,46,20.0,9.0,20.0,67.0,55.0,35.0,53.0,37.0,65.0,23.0,42.6,34.2
19,Leandro N. Alem,B,2.0,0.030825496342737724,0.04602510460251046,0.08491918719265118,43,20.0,9.0,70.0,20.0,49.0,41.0,29.0,61.0,49.0,33.0,43.4,32.8
52,Scalabrini Ortiz,D,2.0,0.14811912225705332,0.040987424312994875,0.020241646928812633,44,20.0,9.0,16.0,71.0,64.0,26.0,61.0,29.0,58.0,28.0,43.8,32.6
87,Caseros,H,2.0,0.04493207941483804,0.045881126173096975,0.024140012101739397,41,20.0,9.0,63.0,23.0,50.0,40.0,58.0,32.0,32.0,47.0,44.6,30.2
12,Río de Janeiro,A,2.0,0.12852664576802508,0.0422873618452667,0.01758874911638085,45,20.0,9.0,20.0,67.0,59.0,31.0,62.0,28.0,63.0,26.0,44.8,32.2
