estacion,linea,grado,betweenness,closeness,autovector,excentricidad,score_central,score_periferico
Corrientes,H,3.0,0.3195750609543714,0.059219380888290714,0.06839834411524028,31,9.4,77.8
9 de Julio,D,4.0,0.1513409961685824,0.05385556915544676,0.24014623385789294,39,9.6,78.8
Once,H,3.0,0.33472657610588646,0.05953991880920163,0.06740512204835046,33,9.8,77.4
Bolívar,E,4.0,0.12774294670846395,0.05330102967898243,0.27780301906001065,38,10.2,78.0
Diagonal Norte,C,4.0,0.11659700452803903,0.052916416115454,0.2593208778535641,35,10.4,78.4
Pueyrredón,B,3.0,0.2402037617554859,0.05432098765432099,0.06745495736793301,36,12.2,75.0
Humberto 1º,H,3.0,0.23380355276907003,0.055345911949685536,0.057231900121917825,37,14.0,72.8
Avenida de Mayo,C,3.0,0.1060170672239638,0.052948255114320095,0.2525998731266645,36,14.0,73.2
Santa Fe,H,3.0,0.18991640543364682,0.054087277197295634,0.04590443614380962,31,14.4,72.8
Venezuela,H,2.0,0.2079414838035528,0.05699481865284974,0.057828136133647026,35,15.6,61.8
