id,estacion,linea,grado,betweenness,closeness,autovector,excentricidad,r_grado,r_grado_periferia,r_betweenness,r_betweenness_periferia,r_closeness,r_closeness_periferia,r_autovector,r_autovector_periferia,r_excentricidad,r_excentricidad_periferia,score_central,score_periferico,lat,long,clave_estacion,nombre_norm,demanda_potencial,radios_cubiertos,pasajeros_diarios_promedio,pasajeros_totales_periodo,dias_observados,educacion,salud,comercio,atraccion_total,betweenness_uniforme,betweenness_demanda,betweenness_atraccion,cambio_demanda_vs_uniforme,cambio_atraccion_vs_demanda
30,Dorrego,B,2.0,0.08777429467084641,0.03713080168776371,0.009337574994401406,46,20.0,9.0,47.0,40.0,70.0,20.0,70.0,20.0,65.0,23.0,54.4,22.4,-34.59171815,-58.44757309,Dorrego (B),dorrego,40064,50,6933.5192307692305,2523801,364,12,3,19,34,0.08580183861082748,0.029153675018495747,0.031349587823765096,-0.05664816359233173,0.002195912805269349
70,José María Moreno,E,2.0,0.08777429467084641,0.03827751196172249,0.014216151137243251,50,20.0,9.0,47.0,40.0,69.0,21.0,64.0,26.0,73.0,15.0,54.6,22.2,-34.62801755,-58.43381625,José María Moreno (E),jose maria moreno,59825,72,2775.7115384615386,1010359,364,6,1,16,23,0.08580183861082746,0.032818723912609274,0.020745882898232038,-0.05298311469821819,-0.012072841014377236
14,Primera Junta,A,2.0,0.08777429467084641,0.03677392394483912,0.007911473579549601,49,20.0,9.0,47.0,40.0,71.0,19.0,72.0,18.0,72.0,18.0,56.4,20.8,-34.62040521,-58.44117763,Primera Junta (A),primera junta,83638,102,7724.2692307692305,2811634,364,12,8,28,48,0.08580183861082748,0.051331707145973036,0.03849908338816485,-0.03447013146485444,-0.012832623757808186
1,Plaza de Mayo,A,1.0,0.0,0.046049188906331764,0.11029823290435807,43,82.0,1.0,82.0,1.0,48.0,42.0,23.0,67.0,49.0,33.0,56.8,28.8,-34.60881031,-58.3709685,Plaza de Mayo (A),plaza de mayo,16911,35,9821.236263736264,3574930,364,15,3,15,33,0.0,0.0,0.0,0.0,0.0
78,Facultad de Derecho,H,1.0,0.0,0.044647387113140535,0.012592311631564927,35,82.0,1.0,82.0,1.0,53.0,37.0,67.0,23.0,6.0,82.0,58.0,28.8,-34.58303634,-58.39101883,Facultad de Derecho (H),facultad de derecho,40563,65,3593.5576923076924,1308055,364,5,0,1,6,0.0,0.0,0.0,0.0,0.0
55,Ministro Carranza,D,2.0,0.08777429467084641,0.03372939823687236,0.006136804316471756,50,20.0,9.0,47.0,40.0,76.0,14.0,75.0,15.0,73.0,15.0,58.2,18.6,-34.57517836,-58.43501353,Ministro Carranza (D),ministro carranza,53090,65,5122.475274725275,1864581,364,10,5,30,45,0.08580183861082755,0.05591528047517598,0.08107713418108105,-0.029886558135651567,0.02516185370590507
31,Federico Lacroze,B,2.0,0.06661442006269593,0.03475513428120063,0.006160502125146671,48,20.0,9.0,58.0,28.0,74.0,16.0,74.0,16.0,69.0,19.0,59.0,17.6,-34.58719785,-58.45502928,Federico Lacroze (B),federico lacroze,25422,31,15754.706043956045,5734713,364,9,5,21,35,0.0651174668028601,0.02408213236773471,0.025405172816064425,-0.04103533443512539,0.0013230404483297147
71,Emilio Mitre,E,2.0,0.06661442006269593,0.035757822023567656,0.009377704960579646,52,20.0,9.0,58.0,28.0,73.0,17.0,69.0,21.0,77.0,11.0,59.4,17.2,-34.63104184,-58.44217071,Emilio Mitre (E),emilio mitre,53256,65,2836.043956043956,1032320,364,9,1,8,18,0.0651174668028601,0.021954576078615805,0.013842101530075852,-0.04316289072424429,-0.008112474548539953
15,Puan,A,2.0,0.06661442006269593,0.03444227005870842,0.005219531040137925,51,20.0,9.0,58.0,28.0,75.0,15.0,77.0,13.0,76.0,14.0,61.2,15.8,-34.62352895,-58.44864765,Puan (A),puan,69795,83,4004.96978021978,1457809,364,15,6,12,33,0.0651174668028601,0.037945995553271446,0.029011127419754475,-0.02717147124958865,-0.00893486813351697
56,Olleros,D,2.0,0.06661442006269593,0.031757488271382174,0.004047726124712454,52,20.0,9.0,58.0,28.0,80.0,10.0,78.0,12.0,77.0,11.0,62.6,14.0,-34.57001231,-58.44466815,Olleros (D),olleros,76016,94,5595.161904761905,1762476,315,14,14,54,82,0.0651174668028601,0.04226493160162841,0.06720839371056556,-0.022852535201231684,0.024943462108937144
32,Tronador,B,2.0,0.04493207941483804,0.03261675315048184,0.003939418151551838,50,20.0,9.0,63.0,23.0,78.0,12.0,79.0,11.0,73.0,15.0,62.6,14.0,-34.58409462,-58.4662272,Tronador (B),tronador,31011,36,3065.8953168044077,1112920,363,4,0,8,12,0.04392236976506645,0.01794242361589327,0.02164289738207093,-0.02597994614917318,0.0037004737661776622
72,Medalla Milagrosa,E,2.0,0.04493207941483804,0.03349828701941378,0.005995828474538186,54,20.0,9.0,63.0,23.0,77.0,13.0,76.0,14.0,81.0,7.0,63.4,13.2,-34.63638919,-58.45027826,Medalla Milagrosa (E),medalla milagrosa,43950,56,1297.4752747252746,472281,364,13,6,4,23,0.043922369765066395,0.013428011432661903,0.0077514103361473775,-0.030494358332404492,-0.005676601096514525
16,Carabobo,A,2.0,0.04493207941483804,0.03234105108416024,0.0033376441898155906,53,20.0,9.0,63.0,23.0,79.0,11.0,81.0,9.0,80.0,10.0,64.6,12.4,-34.62666659,-58.4567098,Carabobo (A),carabobo,67743,84,6085.381868131868,2215079,364,17,9,17,43,0.04392236976506639,0.024697206580681176,0.018722961596674192,-0.019225163184385212,-0.005974244984006984
57,José Hernández,D,2.0,0.04493207941483804,0.0299625468164794,0.0025877421450828265,54,20.0,9.0,63.0,23.0,84.0,6.0,82.0,8.0,81.0,7.0,66.0,10.6,-34.56621524,-58.4521256,José Hernández (D),jose hernandez,82960,110,5256.769461077844,1755761,334,19,20,132,171,0.04392236976506639,0.02849583948928315,0.04613193580498629,-0.015426530275783237,0.01763609631570314
43,Constitución,C,1.0,0.0,0.04117922321010763,0.04937926360267603,44,82.0,1.0,82.0,1.0,62.0,28.0,46.0,44.0,58.0,28.0,66.0,20.4,-34.62761945,-58.38143443,Constitución (C),constitucion,45693,65,48533.22802197802,17666095,364,2,12,18,32,0.0,0.0,0.0,0.0,0.0
33,De los Incas,B,2.0,0.022727272727272728,0.030683403068340307,0.0023295078032484363,52,20.0,9.0,72.0,12.0,82.0,8.0,83.0,7.0,77.0,11.0,66.8,9.4,-34.58124885,-58.47424083,De los Incas (B),de los incas,40435,51,4873.181318681319,1773838,364,6,5,32,43,0.022216547497446372,0.010571226620044692,0.01433354312842695,-0.01164532087740168,0.003762316508382258
73,Varela,E,2.0,0.022727272727272728,0.031462281015373614,0.0035451000230704915,56,20.0,9.0,72.0,12.0,81.0,9.0,80.0,10.0,85.0,4.0,67.6,8.8,-34.64013735,-58.45789175,Varela (E),varela,37174,48,1520.4917127071824,550418,362,8,3,4,15,0.022216547497446386,0.0065072251514672625,0.003441907072492429,-0.015709322345979125,-0.0030653180789748337
17,San José de Flores,A,2.0,0.022727272727272728,0.030439294361812523,0.0019736309349583673,55,20.0,9.0,72.0,12.0,83.0,7.0,84.0,6.0,84.0,6.0,68.6,8.0,-34.62908723,-58.46354051,San José de Flores (A),san jose de flores,66995,87,6968.854395604396,2536663,364,21,8,20,49,0.022216547497446382,0.01169374140507456,0.008389919526250376,-0.010522806092371823,-0.0033038218788241838
58,Juramento,D,2.0,0.022727272727272728,0.02832314129385259,0.001529905944433574,56,20.0,9.0,72.0,12.0,88.0,2.0,86.0,4.0,85.0,4.0,70.2,6.2,-34.56230908,-58.45648913,Juramento (D),juramento,90745,124,8194.367283950618,2654975,324,19,18,219,256,0.022216547497446386,0.012938929462814072,0.016301693504915647,-0.009277618034632314,0.0033627640421015747
89,Hospitales,H,1.0,0.0,0.038903625110521665,0.006622735588170663,45,82.0,1.0,82.0,1.0,67.0,23.0,73.0,17.0,63.0,26.0,73.4,13.6,-34.64126894,-58.41238515,Hospitales (H),hospitales,31914,36,8660.785714285714,3152526,364,11,5,6,22,0.0,0.0,0.0,0.0,0.0
34,Juan Manuel de Rosas,B,1.0,0.0,0.028928336620644313,0.001080932296091031,54,82.0,1.0,82.0,1.0,86.0,4.0,87.0,3.0,81.0,7.0,83.6,3.2,-34.57431891,-58.48638535,Juan Manuel de Rosas (B),juan manuel de rosas,60875,67,15834.28021978022,5763678,364,21,16,75,112,0.0,0.0,0.0,0.0,0.0
74,Plaza de los Virreyes,E,1.0,0.0,0.029619656681252104,0.0016448543138574134,58,82.0,1.0,82.0,1.0,85.0,5.0,85.0,5.0,88.0,1.0,84.4,2.6,-34.64331216,-58.46165176,Plaza de los Virreyes (E),plaza de los virreyes,36363,42,5945.618131868132,2164205,364,5,1,3,9,0.0,0.0,0.0,0.0,0.0
18,San Pedrito,A,1.0,0.0,0.02871125611745514,0.0009157904839828891,57,82.0,1.0,82.0,1.0,87.0,3.0,88.0,2.0,87.0,3.0,85.2,2.0,-34.63070709,-58.46963963,San Pedrito (A),san pedrito,60382,76,17887.675824175825,6511114,364,9,5,23,37,0.0,0.0,0.0,0.0,0.0
59,Congreso de Tucumán,D,1.0,0.0,0.02682109113075282,0.0007098063577726654,58,82.0,1.0,82.0,1.0,89.0,1.0,89.0,1.0,88.0,1.0,86.0,1.0,-34.55564176,-58.4623784,Congreso de Tucumán (D),congreso de tucuman,72788,91,13452.793785310734,4762289,354,12,14,76,102,0.0,0.0,0.0,0.0,0.0
