id,estacion,linea,grado,betweenness,closeness,autovector,excentricidad,r_grado,r_grado_periferia,r_betweenness,r_betweenness_periferia,r_closeness,r_closeness_periferia,r_autovector,r_autovector_periferia,r_excentricidad,r_excentricidad_periferia,score_central,score_periferico,lat,long,clave_estacion,nombre_norm,demanda_potencial,radios_cubiertos,pasajeros_diarios_promedio,pasajeros_totales_periodo,dias_observados,educacion,salud,comercio,atraccion_total,betweenness_uniforme,betweenness_demanda,betweenness_atraccion,cambio_demanda_vs_uniforme,cambio_atraccion_vs_demanda
21,Carlos Pellegrini,B,4.0,0.11603099965168934,0.05045871559633028,0.16731946617709031,40,1.0,85.0,32.0,58.0,25.0,65.0,15.0,75.0,25.0,59.0,19.6,68.4,-34.60363711,-58.38071485,Carlos Pellegrini (B),carlos pellegrini,34559,67,10392.112637362638,3782729,364,11,10,43,64,0.11342356145726956,0.05594578481850066,0.07442544557700888,-0.0574777766387689,0.018479660758508216
66,Jujuy,E,3.0,0.23380355276907003,0.05204021289178001,0.06942539319691073,42,6.0,71.0,6.0,83.0,15.0,75.0,34.0,56.0,44.0,42.0,21.0,65.4,-34.62386571,-58.40293658,Jujuy (E),jujuy,63307,78,1803.85989010989,656605,364,5,8,16,29,0.22854954034729294,0.13676246580942814,0.10293342015423859,-0.0917870745378648,-0.033829045655189544
46,Tribunales,D,2.0,0.12421630094043888,0.05137186223000584,0.16501837571823497,41,20.0,9.0,26.0,64.0,16.0,73.0,16.0,74.0,32.0,47.0,22.0,53.4,-34.60158716,-58.38514235,Tribunales (D),tribunales,56649,96,5601.983766233766,1725411,308,17,7,28,52,0.12142492339121566,0.08675101918423245,0.10991686329556719,-0.034673904206983214,0.023165844111334738
2,Perú,A,4.0,0.08642459073493555,0.050662061024755324,0.2377569306701636,41,1.0,85.0,53.0,37.0,22.0,68.0,5.0,85.0,32.0,47.0,22.6,64.4,-34.60855907,-58.37426773,Perú (A),peru,22445,40,5286.607142857143,1924325,364,24,11,26,61,0.08448246510044269,0.04367154991524092,0.04654859498938989,-0.04081091518520177,0.0028770450741489664
62,Independencia,E,3.0,0.12643678160919541,0.049914917753828704,0.2024556771232225,42,6.0,71.0,25.0,65.0,30.0,59.0,10.0,80.0,44.0,42.0,23.0,63.4,-34.61793739,-58.38153494,Independencia (E),independencia,60129,95,5440.720812182741,2143644,364,13,4,25,42,0.12359550561797758,0.06599065532197153,0.06116952604040829,-0.05760485029600605,-0.004821129281563238
24,Pasteur,B,2.0,0.11015325670498087,0.052318668252080855,0.07245670594813614,38,20.0,9.0,34.0,56.0,14.0,76.0,33.0,57.0,14.0,71.0,23.0,53.8,-34.60464297,-58.39947426,Pasteur (B),pasteur,85589,119,5645.744274809161,1479185,262,25,9,25,59,0.10767790262172296,0.061091211055789074,0.0746786781869353,-0.04658669156593388,0.013587467131146225
4,Lima,A,3.0,0.10623476140717523,0.04985835694050991,0.21115189184210295,41,6.0,71.0,39.0,51.0,32.0,57.0,7.0,83.0,32.0,47.0,23.2,61.8,-34.60909981,-58.3822324,Lima (A),lima,44670,75,4098.159340659341,1491730,364,13,6,12,31,0.1038474633980253,0.06602902242678885,0.06901079345478149,-0.03781844097123645,0.002981771027992644
77,Correo Central,E,3.0,0.06805120167189134,0.0505166475315729,0.19809549742639415,39,6.0,71.0,56.0,34.0,23.0,66.0,12.0,78.0,20.0,66.0,23.4,63.0,-34.60301391,-58.3704125,Correo Central (E),correo central,19036,36,4141.32967032967,1507444,364,15,5,19,39,0.06652196118488257,0.027124451500801915,0.029240570318762475,-0.03939750968408066,0.0021161188179605606
22,Uruguay,B,2.0,0.10218564959944273,0.0505166475315729,0.11878288662106691,38,20.0,9.0,43.0,47.0,23.0,66.0,20.0,70.0,14.0,71.0,24.0,52.6,-34.60409355,-58.38729613,Uruguay (B),uruguay,54539,93,6843.834710743801,2484312,363,21,10,34,65,0.09988934286687115,0.04859611355123776,0.06239278869286743,-0.05129322931563339,0.013796675141629668
40,Moreno,C,2.0,0.07001044932079416,0.050808314087759814,0.20071763581228796,38,20.0,9.0,55.0,35.0,20.0,70.0,11.0,79.0,14.0,71.0,24.0,52.8,-34.61261728,-58.38044447,Moreno (C),moreno,52063,84,2849.510989010989,1037222,364,19,8,11,38,0.0684371807967314,0.0420938167915435,0.04080111937306437,-0.026343364005187907,-0.0012926974184791287
