indicador,valor
estaciones_red,89
estaciones_con_molinetes_matcheadas,88
estaciones_red_sin_molinetes,1
estaciones_molinetes_sin_red,1
radios_censales,3554
poi_educacion_descargados,3039
poi_salud_descargados,1456
poi_comercio_descargados,5004
