escenario,estaciones_nuevas,transbordos_nuevos,tiempo_medio,mejora_tiempo_pct,eficiencia,mejora_eficiencia_pct,diametro,radio,caida_betweenness_hubs_pct,betweenness_nuevas_estaciones
F,11,7,23.223970037453185,1.2244464503796535,0.065240277944761,0.7356975531868234,58.0,29,10.508746986462246,0.5111082737487234
G,11,5,23.380524344569288,0.5585939574151839,0.06491353510445035,0.23118302663816798,58.0,30,2.9548123879582144,0.24361593462717057
I,10,4,22.65917602996255,3.626612860404609,0.06556435951682206,1.2361028894937236,49.0,30,24.763553192804586,0.6539836567926456
F+G+I,32,18,22.307865168539326,5.120798598205284,0.06613704790850021,2.120375097303099,49.0,29,33.78253075353897,1.2008426966292136
