escenario,tiempo_medio,delta_vs_sin_peso_pct
Sin peso,23.22395301327886,0.0
Demanda potencial,15.899060506180943,-31.54024856539165
Demanda y atraccion,15.782405618451797,-32.042552749620945
SUBE realista,20.67256612780823,-10.986014672057811
